conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,nama_gunung_ekstraksi
1988429654265655498,Wed Nov 12 02:12:27 +0000 2025,5,*::INFO BADAN GEOLOGI::* Berikut video kejadian awan panas guguran di Gunung Merapi 12/11/2025 - Pukul 07:35 WIB estimasi jarak luncur 1.700 m ke arah barat daya hulu Kali Krasak dengan amplitudo maksimal 9 mm dan durasi 125.2 detik. Angin bertiup ke arah timur. https://t.co/3fiGct6WlV,1988429654265655498,https://pbs.twimg.com/ext_tw_video_thumb/1988429625589198850/pu/img/GT5QDL2paomjoBEh.jpg,,in,,0,0,1,https://x.com/undefined/status/1988429654265655498,1481664544431042563,,*::info badan geologi::* berikut video kejadian awan panas guguran di gunung merapi 12/11/2025 - pukul 07:35 wib estimasi jarak luncur 1.700 m ke arah barat daya hulu kali krasak dengan amplitudo maksimal 9 mm dan durasi 125.2 detik. angin bertiup ke arah timur.,Merapi
1988103080865636424,Tue Nov 11 11:53:29 +0000 2025,0,@Guntingdisini1 @zakiberkata Fyi ; pada kenyataannya sindoro lebih sering kena awan lentikular dibanding sumbing. Dua gunung ini berdekatan tapi menurut analisa sotoy saya setelah beberapa kali naik dan mengamati dua gunung ini hasilnya adalah sindoro lebih sering badai.,1988213486602907673,,Guntingdisini1,in,,0,0,0,https://x.com/undefined/status/1988213486602907673,1737560990471135233,,fyi ; pada kenyataannya sindoro lebih sering kena awan lentikular dibanding sumbing. dua gunung ini berdekatan tapi menurut analisa sotoy saya setelah beberapa kali naik dan mengamati dua gunung ini hasilnya adalah sindoro lebih sering badai.,Sumbing
1988205031049621723,Tue Nov 11 11:19:53 +0000 2025,0,Gunung Sumbing selalu kelihatan tenang dari kejauhan padahal jalurnya bikin lutut nyerah setengah jalan hahahaha Tapi begitu nyampe puncak awannya kayak lautan dan capeknya langsung ilang. Kadang keindahan emang harus diperjuangkan dulu. Kaya si dia ya nggak? hahahaha https://t.co/rwdQMUh166,1988205031049621723,https://pbs.twimg.com/amplify_video_thumb/1988204384980004867/img/HzqKmBntxOdd5AxK.jpg,,in,,0,0,0,https://x.com/undefined/status/1988205031049621723,1962775478793838592,,gunung sumbing selalu kelihatan tenang dari kejauhan padahal jalurnya bikin lutut nyerah setengah jalan hahahaha tapi begitu nyampe puncak awannya kayak lautan dan capeknya langsung ilang. kadang keindahan emang harus diperjuangkan dulu. kaya si dia ya nggak? hahahaha,Sumbing
1988043582151028967,Tue Nov 11 11:05:30 +0000 2025,1669,@ayamjogjahamil gunung merapi sampe erupsi karena merinding liat couple vintage balikan,1988201412422234325,,ayamjogjahamil,in,,2,3,71,https://x.com/undefined/status/1988201412422234325,1278919638181527553,,gunung merapi sampe erupsi karena merinding liat couple vintage balikan,Merapi
1988161485185708487,Tue Nov 11 08:29:52 +0000 2025,0,@Go_Bank10 Letusan Gunung Kelud pada 13 Februari 2014 pukul 22:50 WIB berjenis Plinian (VEI 4) kolom erupsi &gt;17 km. Aktivitas naik sejak akhir 2013 status Awas sejak pukul 21:15. Dampak: Hujan abu hingga Yogyakarta Solo Bandung (ketebalan &gt;2 cm) evakuasi &gt;100.000 jiwa 7 bandara,1988162245055180968,,Go_Bank10,in,,0,1,0,https://x.com/undefined/status/1988162245055180968,1720665183188922368,,letusan gunung kelud pada 13 februari 2014 pukul 22:50 wib berjenis plinian (vei 4) kolom erupsi &gt;17 km. aktivitas naik sejak akhir 2013 status awas sejak pukul 21:15. dampak: hujan abu hingga yogyakarta solo bandung (ketebalan &gt;2 cm) evakuasi &gt;100.000 jiwa 7 bandara,Kelud
1987789332963352800,Tue Nov 11 08:13:08 +0000 2025,1,@hazeelreo @bermuara_sayang Soalnya aku kalau udah romantis udah bisa tebak respon kamu pasti tumben . Soal roblos aduhai bisa banget lah euy aku carry kamu apalagi kalau naik gunung. Sini adek cantik naik ke punggung abang jangankan puncak abang akan membawa adek kemanapun yang kamu mau. -,1988158036662456787,,ileehanii,in,,0,1,0,https://x.com/undefined/status/1988158036662456787,1968233183515938816,,soalnya aku kalau udah romantis udah bisa tebak respon kamu pasti tumben . soal roblos aduhai bisa banget lah euy aku carry kamu apalagi kalau naik gunung. sini adek cantik naik ke punggung abang jangankan puncak abang akan membawa adek kemanapun yang kamu mau. -,Abang
1988134810381152435,Tue Nov 11 06:40:51 +0000 2025,18,INFO BADAN GEOLOGI Selasa 11/11/2025 13:00:00 WIB: Terjadi hujan di lereng selatan Gunung Merapi mulai pukul 12:44 WIB dengan curah hujan 5 mm durasi 15 menit dan intensitas 29 mm/jam. Hujan masih berlangsung saat ini waspadai bahaya lahar di sungai-sungai yang berhulu di https://t.co/BOzB6JglfX,1988134810381152435,https://pbs.twimg.com/media/G5dF_o0asAAIRsh.jpg,,in,,1,4,1,https://x.com/undefined/status/1988134810381152435,1279804428724211712,,info badan geologi selasa 11/11/2025 13:00:00 wib: terjadi hujan di lereng selatan gunung merapi mulai pukul 12:44 wib dengan curah hujan 5 mm durasi 15 menit dan intensitas 29 mm/jam. hujan masih berlangsung saat ini waspadai bahaya lahar di sungai-sungai yang berhulu di,Merapi
1988109832898179396,Tue Nov 11 05:01:36 +0000 2025,0,Takjub subuh tadi si kakak summit gunung Prau (2590 mdpl)! Kamar mandi bc nya hiyek yah.. doi laporan udah down hill nyampe di basecamp ..secara nih anak menik2 yg gak bisa deket2 ama yg namanya kamar mandi umum yg you know lah di hampir semua bc di gunung pasti jorok..,1988109832898179396,,,in,,0,1,0,https://x.com/undefined/status/1988109832898179396,950439083335041025,,takjub subuh tadi si kakak summit gunung prau (2590 mdpl)! kamar mandi bc nya hiyek yah.. doi laporan udah down hill nyampe di basecamp ..secara nih anak menik2 yg gak bisa deket2 ama yg namanya kamar mandi umum yg you know lah di hampir semua bc di gunung pasti jorok..,Prau
1988109080230342710,Tue Nov 11 04:58:36 +0000 2025,0,Dimulai dari match home vs tgr liburan ke bali tektok&amp;camp beberapa gunung dan terakhir awaydays ngalam impian dari 5/6thn kebelakang menjadi penutup tahun ini.Terimakasih tuhan Bisa kali 2026 Away Bali Argopuro Kerinci Wae Rebo Labuan Bajo,1988109080230342710,,,in,,0,0,0,https://x.com/undefined/status/1988109080230342710,440828981,,dimulai dari match home vs tgr liburan ke bali tektok&amp;camp beberapa gunung dan terakhir awaydays ngalam impian dari 5/6thn kebelakang menjadi penutup tahun ini.terimakasih tuhan bisa kali 2026 away bali argopuro kerinci wae rebo labuan bajo,Kerinci
1988093469013975240,Tue Nov 11 03:56:34 +0000 2025,0,harga SIMAKSI di beberapa gunung naik seperti Gunung Rinjani yang naik 100% pada akhir tahun 2024 lalu dan Gunung Gede Pangrango yang juga mengalami kenaikan per Oktober 2025. Gimana menurut Lo? #INIRASANYASUPER #SUPERLIVE #SUPERADVENTURE #UPDATE https://t.co/PLXfzOPN4y,1988093469013975240,https://pbs.twimg.com/media/G5cgeM3bcAEiKLZ.jpg,,in,,0,0,0,https://x.com/undefined/status/1988093469013975240,3307781334,,harga simaksi di beberapa gunung naik seperti gunung rinjani yang naik 100% pada akhir tahun 2024 lalu dan gunung gede pangrango yang juga mengalami kenaikan per oktober 2025. gimana menurut lo?,Rinjani
